丟	丟
並	並
乘	乗
乾	乹
乾	亁
亂	亂
亙	亙
亞	亞
享	亯
夜	亱
廉	亷
亡	亾
夫	伕
似	佀
佇	佇
布	佈
佔	佔
並	併
來	來
侖	侖
侶	侶
局	侷
俁	俁
系	係
俯	俛
俠	俠
倀	倀
倆	倆
倉	倉
個	個
倏	倐
們	們
幸	倖
仿	倣
倫	倫
睬	倸
偉	偉
侃	偘
逼	偪
側	側
偵	偵
偷	偸
咱	偺
僞	偽
傑	傑
傖	傖
傘	傘
備	備
效	傚
家	傢
傭	傭
傯	傯
傳	傳
傴	傴
債	債
傷	傷
傾	傾
僂	僂
僅	僅
僉	僉
仙	僊
僑	僑
僕	僕
僞	僞
僥	僥
僨	僨
僱	僱
價	價
儀	儀
俊	儁
儂	儂
億	億
當	儅
儈	儈
儉	儉
儐	儐
儔	儔
儕	儕
盡	儘
償	償
優	優
儲	儲
倏	儵
儷	儷
羅	儸
攢	儹
儺	儺
儻	儻
儼	儼
兇	兇
兌	兌
兔	兎
兒	兒
兗	兗
兜	兠
內	內
兩	兩
冉	冄
冊	冊
冒	冐
冪	冪
泯	冺
塗	凃
凍	凍
凜	凜
瀆	凟
凡	凣
處	処
凱	凱
憑	凴
別	別
劫	刦
劫	刧
刪	刪
劫	刼
剄	剄
則	則
克	剋
剛	剛
剝	剝
剮	剮
札	剳
剴	剴
創	創
鏟	剷
戮	剹
劃	劃
札	劄
劇	劇
劉	劉
劊	劊
劌	劌
劍	劍
劑	劑
劍	劒
效	効
勁	勁
敕	勅
倦	勌
動	動
勖	勗
務	務
勳	勛
勝	勝
勞	勞
勢	勢
績	勣
剿	勦
勱	勱
勳	勳
勵	勵
勸	勸
勻	勻
丐	匃
丐	匄
炕	匟
匭	匭
匯	匯
匱	匱
奩	匲
奩	匳
櫝	匵
區	區
協	協
恤	卹
卻	卻
膝	厀
厙	厙
廳	厛
廁	厠
歷	厤
厭	厭
廠	厰
厲	厲
厴	厴
參	參
睿	叡
叢	叢
咿	吚
吳	吳
呂	呂
叫	呌
咒	呪
和	咊
咼	咼
員	員
咔	哢
咩	哶
唄	唄
唣	唕
吣	唚
吟	唫
念	唸
忤	啎
問	問
喋	啑
啓	啓
啖	啗
啞	啞
啓	啟
銜	啣
哲	喆
咱	喒
喚	喚
巖	喦
喪	喪
喫	喫
喬	喬
單	單
喲	喲
啼	嗁
嗆	嗆
嗇	嗇
嗎	嗎
嗚	嗚
嗩	嗩
嗶	嗶
慨	嘅
嘆	嘆
嘍	嘍
呼	嘑
嘔	嘔
嘖	嘖
嘗	嘗
嘜	嘜
嘎	嘠
譁	嘩
嘮	嘮
嘯	嘯
嘰	嘰
嘵	嘵
嘸	嘸
惡	噁
咴	噅
啖	噉
噓	噓
噝	噝
噠	噠
噥	噥
噦	噦
噯	噯
噲	噲
噴	噴
噸	噸
當	噹
嚀	嚀
嚇	嚇
嚌	嚌
嘗	嚐
嚕	嚕
齧	嚙
咽	嚥
嚦	嚦
嚨	嚨
向	嚮
嚳	嚳
嚴	嚴
嚶	嚶
囂	嚻
囀	囀
囁	囁
囂	囂
囅	囅
囈	囈
蘇	囌
囑	囑
回	囘
因	囙
囪	囪
回	囬
國	囯
函	圅
圇	圇
國	國
圍	圍
園	園
圓	圓
圖	圖
團	團
垧	坰
丘	坵
附	坿
垛	垜
埯	垵
壩	垻
炯	埛
野	埜
埡	埡
採	埰
坎	埳
執	執
坤	堃
堅	堅
堊	堊
堖	堖
塍	堘
堝	堝
階	堦
堯	堯
報	報
場	場
鹼	堿
塊	塊
塋	塋
塏	塏
塒	塒
塗	塗
冢	塚
葬	塟
塢	塢
壎	塤
場	塲
塵	塵
塹	塹
磚	塼
墊	墊
塔	墖
墜	墜
磽	墝
墩	墪
墮	墮
壇	墰
墳	墳
牆	墻
墾	墾
野	壄
壇	壇
壎	壎
壓	壓
壘	壘
壙	壙
壚	壚
壇	壜
壞	壞
壟	壟
壟	壠
壢	壢
壩	壩
壯	壯
壺	壺
婿	壻
壽	壽
壽	夀
帽	夘
夠	夠
夢	夢
夾	夾
奐	奐
奧	奧
奩	奩
奪	奪
奮	奮
妝	妝
妒	妬
你	妳
侄	妷
姊	姉
姍	姍
妊	姙
奸	姦
侄	姪
娛	娛
嫵	娬
婀	娿
婁	婁
婦	婦
淫	婬
婭	婭
媧	媧
偷	媮
嬀	媯
媼	媼
媽	媽
愧	媿
嫋	嫋
嫗	嫗
嫩	嫰
嫵	嫵
嫺	嫺
嫺	嫻
嬀	嬀
嬈	嬈
嬋	嬋
嬌	嬌
嬙	嬙
嫋	嬝
嬡	嬡
嬤	嬤
嬪	嬪
奶	嬭
嬰	嬰
嬸	嬸
懶	嬾
娘	孃
孌	孌
孫	孫
學	學
孽	孼
孿	孿
冗	宂
宮	宮
寇	宼
採	寀
置	寘
寢	寢
實	實
寧	寧
審	審
寫	寫
寬	寬
寵	寵
寶	寶
克	尅
將	將
專	專
尋	尋
對	對
導	導
尷	尲
尷	尷
屆	屆
屍	屍
屜	屜
屢	屢
層	層
屨	屨
屬	屬
坂	岅
岡	岡
峒	峝
峨	峩
峯	峯
峴	峴
島	島
峽	峽
崍	崍
昆	崐
昆	崑
崗	崗
侖	崙
崬	崠
崢	崢
崬	崬
嵛	崳
嵐	嵐
歲	嵗
嶁	嶁
嶄	嶄
嶇	嶇
嶗	嶗
嶠	嶠
嶧	嶧
岙	嶴
嶸	嶸
嶺	嶺
嶼	嶼
嶽	嶽
巋	巋
巒	巒
巔	巔
巖	巖
巖	巗
巰	巰
卮	巵
巹	巹
匝	帀
帥	帥
師	師
裙	帬
帳	帳
帶	帶
幀	幀
幃	幃
徽	幑
幗	幗
幘	幘
幕	幙
幟	幟
幣	幣
幫	幫
幬	幬
幹	幹
幾	幾
庫	庫
庶	庻
廁	廁
廂	廂
廄	廄
廈	廈
廄	廐
蔭	廕
廚	廚
廝	廝
廟	廟
廠	廠
廡	廡
廢	廢
廣	廣
廩	廩
廬	廬
廳	廳
巡	廵
迫	廹
回	廻
乃	廼
吊	弔
弳	弳
張	張
強	強
別	彆
彈	彈
強	彊
彌	彌
彎	彎
匯	彙
彝	彜
彝	彞
彥	彥
雕	彫
佛	彿
往	徃
徑	徑
從	從
徠	徠
復	復
仿	徬
徵	徴
徹	徹
匆	怱
恍	怳
恆	恆
怪	恠
吝	恡
恥	恥
悅	悅
匆	悤
德	悳
悵	悵
悶	悶
悽	悽
婪	惏
惡	惡
恿	惥
惱	惱
惲	惲
惻	惻
愛	愛
愜	愜
愨	愨
愴	愴
愷	愷
博	愽
愾	愾
恿	慂
慄	慄
殷	慇
態	態
慍	慍
慘	慘
慚	慙
慚	慚
慟	慟
慣	慣
愨	慤
慪	慪
慫	慫
慮	慮
慳	慳
懾	慴
慶	慶
戚	慼
欲	慾
憂	憂
憩	憇
憊	憊
憐	憐
憑	憑
憒	憒
憚	憚
憤	憤
憫	憫
憮	憮
憲	憲
憶	憶
勤	懃
懇	懇
應	應
懌	懌
懍	懍
懨	懕
蒙	懞
懟	懟
懣	懣
懨	懨
懲	懲
懶	懶
懷	懷
懸	懸
懺	懺
懼	懼
歡	懽
懾	懾
戀	戀
戇	戇
戔	戔
戧	戧
戩	戩
戲	戱
戰	戰
戲	戲
戶	戶
厄	戹
帽	戼
扦	扡
拿	拏
拖	拕
拿	挐
挲	挱
挾	挾
插	挿
救	捄
舍	捨
捫	捫
卷	捲
掃	掃
掄	掄
掙	掙
掛	掛
採	採
碰	掽
揀	揀
捏	揑
揚	揚
換	換
揪	揫
揮	揮
背	揹
構	搆
撳	搇
榷	搉
損	損
搖	搖
搗	搗
捶	搥
拓	搨
