丟	丟
並	並
乗	乘
乹	乾
亁	乾
亂	亂
亙	亙
亞	亞
亯	享
亱	夜
亷	廉
亾	亡
伕	夫
佀	似
佇	佇
佈	布
佔	佔
併	並
來	來
侖	侖
侶	侶
侷	局
俁	俁
係	系
俛	俯
俠	俠
倀	倀
倆	倆
倉	倉
個	個
倐	倏
們	們
倖	幸
倣	仿
倫	倫
倸	睬
偉	偉
偘	侃
偪	逼
側	側
偵	偵
偸	偷
偺	咱
偽	僞
傑	傑
傖	傖
傘	傘
備	備
傚	效
傢	家
傭	傭
傯	傯
傳	傳
傴	傴
債	債
傷	傷
傾	傾
僂	僂
僅	僅
僉	僉
僊	仙
僑	僑
僕	僕
僞	僞
僥	僥
僨	僨
僱	僱
價	價
儀	儀
儁	俊
儂	儂
億	億
儅	當
儈	儈
儉	儉
儐	儐
儔	儔
儕	儕
儘	盡
償	償
優	優
儲	儲
儵	倏
儷	儷
儸	羅
儹	攢
儺	儺
儻	儻
儼	儼
兇	兇
兌	兌
兎	兔
兒	兒
兗	兗
兠	兜
內	內
兩	兩
冄	冉
冊	冊
冐	冒
冪	冪
冺	泯
凃	塗
凍	凍
凜	凜
凟	瀆
凣	凡
処	處
凱	凱
凴	憑
別	別
刦	劫
刧	劫
刪	刪
刼	劫
剄	剄
則	則
剋	克
剛	剛
剝	剝
剮	剮
剳	札
剴	剴
創	創
剷	鏟
剹	戮
劃	劃
劄	札
劇	劇
劉	劉
劊	劊
劌	劌
劍	劍
劑	劑
劒	劍
効	效
勁	勁
勅	敕
勌	倦
動	動
勗	勖
務	務
勛	勳
勝	勝
勞	勞
勢	勢
勣	績
勦	剿
勱	勱
勳	勳
勵	勵
勸	勸
勻	勻
匃	丐
匄	丐
匟	炕
匭	匭
匯	匯
匱	匱
匲	奩
匳	奩
匵	櫝
區	區
協	協
卹	恤
卻	卻
厀	膝
厙	厙
厛	廳
厠	廁
厤	歷
厭	厭
厰	廠
厲	厲
厴	厴
參	參
叡	睿
叢	叢
吚	咿
吳	吳
呂	呂
呌	叫
呪	咒
咊	和
咼	咼
員	員
哢	咔
哶	咩
唄	唄
唕	唣
唚	吣
唫	吟
唸	念
啎	忤
問	問
啑	喋
啓	啓
啗	啖
啞	啞
啟	啓
啣	銜
喆	哲
喒	咱
喚	喚
喦	巖
喪	喪
喫	喫
喬	喬
單	單
喲	喲
嗁	啼
嗆	嗆
嗇	嗇
嗎	嗎
嗚	嗚
嗩	嗩
嗶	嗶
嘅	慨
嘆	嘆
嘍	嘍
嘑	呼
嘔	嘔
嘖	嘖
嘗	嘗
嘜	嘜
嘠	嘎
嘩	譁
嘮	嘮
嘯	嘯
嘰	嘰
嘵	嘵
嘸	嘸
噁	惡
噅	咴
噉	啖
噓	噓
噝	噝
噠	噠
噥	噥
噦	噦
噯	噯
噲	噲
噴	噴
噸	噸
噹	當
嚀	嚀
嚇	嚇
嚌	嚌
嚐	嘗
嚕	嚕
嚙	齧
嚥	咽
嚦	嚦
嚨	嚨
嚮	向
嚳	嚳
嚴	嚴
嚶	嚶
嚻	囂
囀	囀
囁	囁
囂	囂
囅	囅
囈	囈
囌	蘇
囑	囑
囘	回
囙	因
囪	囪
囬	回
囯	國
圅	函
圇	圇
國	國
圍	圍
園	園
圓	圓
圖	圖
團	團
坰	垧
坵	丘
坿	附
垜	垛
垵	埯
垻	壩
埛	炯
埜	野
埡	埡
埰	採
埳	坎
執	執
堃	坤
堅	堅
堊	堊
堖	堖
堘	塍
堝	堝
堦	階
堯	堯
報	報
場	場
堿	鹼
塊	塊
塋	塋
塏	塏
塒	塒
塗	塗
塚	冢
塟	葬
塢	塢
塤	壎
塲	場
塵	塵
塹	塹
塼	磚
墊	墊
墖	塔
墜	墜
墝	磽
墪	墩
墮	墮
墰	壇
墳	墳
墻	牆
墾	墾
壄	野
壇	壇
壎	壎
壓	壓
壘	壘
壙	壙
壚	壚
壜	壇
壞	壞
壟	壟
壠	壟
壢	壢
壩	壩
壯	壯
壺	壺
壻	婿
壽	壽
夀	壽
夘	帽
夠	夠
夢	夢
夾	夾
奐	奐
奧	奧
奩	奩
奪	奪
奮	奮
妝	妝
妬	妒
妳	你
妷	侄
姉	姊
姍	姍
姙	妊
姦	奸
姪	侄
娛	娛
娬	嫵
娿	婀
婁	婁
婦	婦
婬	淫
婭	婭
媧	媧
媮	偷
媯	嬀
媼	媼
媽	媽
媿	愧
嫋	嫋
嫗	嫗
嫰	嫩
嫵	嫵
嫺	嫺
嫻	嫺
嬀	嬀
嬈	嬈
嬋	嬋
嬌	嬌
嬙	嬙
嬝	嫋
嬡	嬡
嬤	嬤
嬪	嬪
嬭	奶
嬰	嬰
嬸	嬸
嬾	懶
孃	娘
孌	孌
孫	孫
學	學
孼	孽
孿	孿
宂	冗
宮	宮
宼	寇
寀	採
寘	置
寢	寢
實	實
寧	寧
審	審
寫	寫
寬	寬
寵	寵
寶	寶
尅	克
將	將
專	專
尋	尋
對	對
導	導
尲	尷
尷	尷
屆	屆
屍	屍
屜	屜
屢	屢
層	層
屨	屨
屬	屬
岅	坂
岡	岡
峝	峒
峩	峨
峯	峯
峴	峴
島	島
峽	峽
崍	崍
崐	昆
崑	昆
崗	崗
崙	侖
崠	崬
崢	崢
崬	崬
崳	嵛
嵐	嵐
嵗	歲
嶁	嶁
嶄	嶄
嶇	嶇
嶗	嶗
嶠	嶠
嶧	嶧
嶴	岙
嶸	嶸
嶺	嶺
嶼	嶼
嶽	嶽
巋	巋
巒	巒
巔	巔
巖	巖
巗	巖
巰	巰
巵	卮
巹	巹
帀	匝
帥	帥
師	師
帬	裙
帳	帳
帶	帶
幀	幀
幃	幃
幑	徽
幗	幗
幘	幘
幙	幕
幟	幟
幣	幣
幫	幫
幬	幬
幹	幹
幾	幾
庫	庫
庻	庶
廁	廁
廂	廂
廄	廄
廈	廈
廐	廄
廕	蔭
廚	廚
廝	廝
廟	廟
廠	廠
廡	廡
廢	廢
廣	廣
廩	廩
廬	廬
廳	廳
廵	巡
廹	迫
廻	回
廼	乃
弔	吊
弳	弳
張	張
強	強
彆	別
彈	彈
彊	強
彌	彌
彎	彎
彙	匯
彜	彝
彞	彝
彥	彥
彫	雕
彿	佛
徃	往
徑	徑
從	從
徠	徠
復	復
徬	仿
徴	徵
徹	徹
怱	匆
怳	恍
恆	恆
恠	怪
恡	吝
恥	恥
悅	悅
悤	匆
悳	德
悵	悵
悶	悶
悽	悽
惏	婪
惡	惡
惥	恿
惱	惱
惲	惲
惻	惻
愛	愛
愜	愜
愨	愨
愴	愴
愷	愷
愽	博
愾	愾
慂	恿
慄	慄
慇	殷
態	態
慍	慍
慘	慘
慙	慚
慚	慚
慟	慟
慣	慣
慤	愨
慪	慪
慫	慫
慮	慮
慳	慳
慴	懾
慶	慶
慼	戚
慾	欲
憂	憂
憇	憩
憊	憊
憐	憐
憑	憑
憒	憒
憚	憚
憤	憤
憫	憫
憮	憮
憲	憲
憶	憶
懃	勤
懇	懇
應	應
懌	懌
懍	懍
懕	懨
懞	蒙
懟	懟
懣	懣
懨	懨
懲	懲
懶	懶
懷	懷
懸	懸
懺	懺
懼	懼
懽	歡
懾	懾
戀	戀
戇	戇
戔	戔
戧	戧
戩	戩
戱	戲
戰	戰
戲	戲
戶	戶
戹	厄
戼	帽
扡	扦
拏	拿
拕	拖
挐	拿
挱	挲
挾	挾
挿	插
捄	救
捨	舍
捫	捫
捲	卷
掃	掃
掄	掄
掙	掙
掛	掛
採	採
掽	碰
揀	揀
揑	捏
揚	揚
換	換
揫	揪
揮	揮
揹	背
搆	構
搇	撳
搉	榷
損	損
搖	搖
搗	搗
搥	捶
搨	拓
