amu	原子質量
bar	巴
cm2	平方釐米
cm²	平方釐米
cm3	立方厘米
cm³	立方厘米
cm	釐米
cwt	美擔
°c	攝氏度
°C	攝氏度
℃	攝氏度
db	分貝
dm3	立方分米
dm³	立方分米
dm	分米
ds	毫秒
ft	英尺
°f	華氏度
°F	華氏度
℉	華氏度
gb	吉字節
ghz	吉赫茲
gpa	吉帕斯卡
gwh	吉瓦時
gw	吉瓦
gy	戈瑞
h	小時
ha	公頃
hz	赫茲
kbps	千比特每秒
kcal	千卡
kgf	千克力
kg	千克
khz	千赫茲
km2	平方千米
km²	平方千米
km	公里
kpa	千帕
kwh	千瓦時
kw	千瓦
kW	千瓦
lbs	磅
lb	磅
m2	平方米
m²	平方米
m3	立方米
m³	立方米
mbps	兆比特每秒
mg	毫克
mhz	兆赫茲
mi2	平方英里
mi²	平方英里
min	分鐘
mi	英里
ml	毫升
mm2	平方毫米
mm²	平方毫米
mm	毫米
mol	摩爾
mpa	兆帕
mph	英里每小時
ms	毫秒
mv	毫伏
mw	毫瓦
m	米
ng	納克
nm	納米
ns	納秒
ºc	攝氏度
ºC	攝氏度
oz	盎司
º	度
pa	帕斯卡
pg	皮克
ps	皮秒
rad	弧度
rpm	轉每分
sq ft	平方英尺
sq mi	平方英里
sv	系沃特
s	秒
tb	太字節
tj	萬億焦耳
tl	臺兩
v	伏特
yd	碼
μg	微克
μm	微米
μs	微秒
ω	歐米茄
°	度
